"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_043042_191";1.0;2.3;19.0;"Phanan";0.05;"Pippip, Phogri";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_044904_000";0.3;2.1;11.0;"noise";0.9;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_051904_000";0.7;0.9;12.0;"noise";0.71;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_054904_000";"0.0";0.4;11.0;"noise";0.21;"piaf";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_061904_000";1.3;1.4;12.0;"noise";0.58;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_064904_000";0.5;0.6;17.0;"noise";0.87;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_071904_000";0.4;0.5;13.0;"noise";0.12;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_072537_931";"0.0";2.9;91.0;"noise";0.85;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_072551_057";"0.0";2.1;96.0;"noise";0.76;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_072551_057";1.5;2.1;54.0;"Pippip";0.87;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_072555_655";"0.0";2.7;48.0;"noise";0.93;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_072555_655";1.1;2.8;51.0;"Pippip";0.72;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_074531_847";2.1;3.7;14.0;"noise";0.96;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_074536_847";0.3;0.4;21.0;"noise";0.76;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_074904_000";0.8;2.1;11.0;"noise";0.97;"";"";"";"";""
